"(PDH-CSV 4.0) (GMT Daylight Time)(-60)","\\mahta\Memory\Available MBytes"
"04/01/2025 23:28:24.579","9458"
"04/01/2025 23:28:25.581","9460"
"04/01/2025 23:28:26.582","9454"
"04/01/2025 23:28:27.583","9446"
"04/01/2025 23:28:28.584","9463"
"04/01/2025 23:28:29.585","9487"
"04/01/2025 23:28:30.587","9486"
"04/01/2025 23:28:31.590","9492"
"04/01/2025 23:28:32.594","9497"
"04/01/2025 23:28:33.595","9504"
"04/01/2025 23:28:34.597","9084"
"04/01/2025 23:28:35.599","8756"
"04/01/2025 23:28:36.600","8249"
"04/01/2025 23:28:37.601","7868"
"04/01/2025 23:28:38.604","7813"
"04/01/2025 23:28:39.607","7836"
"04/01/2025 23:28:40.608","8116"
"04/01/2025 23:28:41.611","8144"
"04/01/2025 23:28:42.613","8134"
"04/01/2025 23:28:43.614","8117"
"04/01/2025 23:28:44.615","8105"
"04/01/2025 23:28:45.616","8028"
"04/01/2025 23:28:46.617","8055"
"04/01/2025 23:28:47.619","8023"
"04/01/2025 23:28:48.619","8001"
"04/01/2025 23:28:49.621","7981"
"04/01/2025 23:28:50.623","7953"
"04/01/2025 23:28:51.624","7883"
"04/01/2025 23:28:52.626","7898"
"04/01/2025 23:28:53.628","7863"
"04/01/2025 23:28:54.629","7940"
"04/01/2025 23:28:55.630","8102"
"04/01/2025 23:28:56.631","8173"
"04/01/2025 23:28:57.631","8177"
"04/01/2025 23:28:58.632","8181"
"04/01/2025 23:28:59.633","7848"
"04/01/2025 23:29:00.635","7605"
"04/01/2025 23:29:01.636","7414"
"04/01/2025 23:29:02.636","7417"
"04/01/2025 23:29:03.637","7509"
"04/01/2025 23:29:04.649","7530"
"04/01/2025 23:29:05.662","7524"
"04/01/2025 23:29:06.676","7532"
"04/01/2025 23:29:07.676","7529"
"04/01/2025 23:29:08.691","7524"
"04/01/2025 23:29:09.699","7512"
"04/01/2025 23:29:10.701","7531"
"04/01/2025 23:29:11.710","7630"
"04/01/2025 23:29:12.722","7660"
"04/01/2025 23:29:13.723","7716"
"04/01/2025 23:29:14.723","7769"
"04/01/2025 23:29:15.732","7320"
"04/01/2025 23:29:16.733","7263"
"04/01/2025 23:29:17.733","7250"
"04/01/2025 23:29:18.733","7237"
"04/01/2025 23:29:19.744","7232"
"04/01/2025 23:29:20.746","7240"
"04/01/2025 23:29:21.748","7233"
"04/01/2025 23:29:22.749","7221"
"04/01/2025 23:29:23.751","7274"
"04/01/2025 23:29:24.753","7236"
"04/01/2025 23:29:25.754","7227"
"04/01/2025 23:29:26.754","7214"
"04/01/2025 23:29:27.756","7181"
"04/01/2025 23:29:28.758","7151"
"04/01/2025 23:29:29.759","7126"
"04/01/2025 23:29:30.761","7105"
"04/01/2025 23:29:31.762","7184"
"04/01/2025 23:29:32.764","7159"
"04/01/2025 23:29:33.765","7144"
"04/01/2025 23:29:34.765","7376"
"04/01/2025 23:29:35.784","7414"
"04/01/2025 23:29:36.785","7434"
"04/01/2025 23:29:37.786","7513"
"04/01/2025 23:29:38.792","7489"
"04/01/2025 23:29:39.798","6994"
"04/01/2025 23:29:40.799","7012"
"04/01/2025 23:29:41.799","7004"
"04/01/2025 23:29:42.801","6986"
"04/01/2025 23:29:43.803","6978"
"04/01/2025 23:29:44.803","6961"
"04/01/2025 23:29:45.803","6915"
"04/01/2025 23:29:46.804","6950"
"04/01/2025 23:29:47.806","6963"
"04/01/2025 23:29:48.808","6945"
"04/01/2025 23:29:49.814","6951"
"04/01/2025 23:29:50.815","7070"
"04/01/2025 23:29:51.828","7286"
"04/01/2025 23:29:52.828","7295"
"04/01/2025 23:29:53.845","7318"
"04/01/2025 23:29:54.845","7322"
"04/01/2025 23:29:55.852","7326"
"04/01/2025 23:29:56.853","7324"
"04/01/2025 23:29:57.855","7323"
"04/01/2025 23:29:58.857","7355"
"04/01/2025 23:29:59.858","7349"
"04/01/2025 23:30:00.859","7359"
"04/01/2025 23:30:01.860","7351"
"04/01/2025 23:30:02.861","7350"
"04/01/2025 23:30:03.861","7341"
"04/01/2025 23:30:04.862","7362"
"04/01/2025 23:30:05.872","7358"
"04/01/2025 23:30:06.874","7355"
"04/01/2025 23:30:07.875","7354"
"04/01/2025 23:30:08.877","7299"
