"(PDH-CSV 4.0) (GMT Daylight Time)(-60)","\\mahta\LogicalDisk(_Total)\Disk Write Bytes/sec"
"04/01/2025 23:18:21.004"," "
"04/01/2025 23:18:22.006","322967.42289295507362"
"04/01/2025 23:18:23.008","44979.292314886188251"
"04/01/2025 23:18:24.009","233100.13535406967276"
"04/01/2025 23:18:25.011","523278.49113490257878"
"04/01/2025 23:18:29.003","350007.57881156168878"
"04/01/2025 23:18:30.004","145803.94006370927673"
"04/01/2025 23:18:31.007","281843.79999285977101"
"04/01/2025 23:18:32.007","159657.97628237906611"
"04/01/2025 23:18:35.005","235714.48016043103416"
"04/01/2025 23:18:36.006","490750.79720046796137"
"04/01/2025 23:18:37.008","239690.89967535203323"
"04/01/2025 23:18:38.009","45516.220747277890041"
"04/01/2025 23:18:41.003","1123808.6794982794672"
"04/01/2025 23:18:42.004","84430.709351880374015"
"04/01/2025 23:18:43.006","381559.17058287980035"
"04/01/2025 23:18:44.007","464172.35529809026048"
"04/01/2025 23:18:45.010","218599.51307501128758"
"04/01/2025 23:18:47.012","805139.78359910147265"
"04/01/2025 23:18:48.013","85904.813400016355445"
"04/01/2025 23:18:49.013","94195.161199528491125"
"04/01/2025 23:18:50.015","57240.509159439730865"
"04/01/2025 23:18:51.016","98194.35618188729859"
"04/01/2025 23:18:53.018","288996.01806285051862"
"04/01/2025 23:18:54.019","147293.71178835158935"
"04/01/2025 23:18:55.020","523654.95352668163832"
"04/01/2025 23:18:56.021","5730628.864608486183"
"04/01/2025 23:18:57.022","45537.194088199335965"
"04/01/2025 23:19:00.005","99199.188857843706501"
"04/01/2025 23:19:01.007","131113413.04155898094"
"04/01/2025 23:19:02.008","887408664.36199092865"
"04/01/2025 23:19:03.008","106430.26866607183183"
"04/01/2025 23:19:04.008","5737969.2544224439189"
"04/01/2025 23:19:07.003","1007059.3804645281052"
"04/01/2025 23:19:08.004","28643.436764858081006"
"04/01/2025 23:19:09.005","31283839.533320363611"
"04/01/2025 23:19:10.005","89547.972627903189277"
"04/01/2025 23:19:11.007","85838.974283335483051"
"04/01/2025 23:19:13.009","395543.71695221983828"
"04/01/2025 23:19:14.010","413111.94233592553064"
"04/01/2025 23:19:15.011","24545.673819995397935"
"04/01/2025 23:19:16.013","1608050.9568078499287"
"04/01/2025 23:19:17.015","159439.27964873536257"
